query_id,fold,control_ndcg10,physical_metric_ndcg10,control_track_rmse_km,physical_metric_track_rmse_km
physical_query_001,report_2011_2012,0.0947883643695507,0.0,1882.5828857421875,1225.7718505859375
physical_query_002,report_2011_2012,0.0,0.2082936658103318,2557.790771484375,1858.7044677734373
physical_query_003,report_2011_2012,0.2200917662980802,0.3379841448267984,510.1033935546875,1196.56884765625
physical_query_004,report_2011_2012,0.1388624438735545,0.4085359184257956,1342.6502685546875,354.1371154785156
physical_query_005,report_2011_2012,0.0,0.0,1589.6007080078125,1282.75048828125
physical_query_006,report_2011_2012,0.0,0.2375835084056881,1197.3319091796875,722.3592529296875
physical_query_007,report_2011_2012,0.29062463495159,0.2122263659729146,983.405029296875,626.462646484375
physical_query_008,report_2011_2012,0.0,0.6325414799409712,2685.850341796875,731.1224975585938
physical_query_009,report_2011_2012,0.1100458831490401,0.5847192329112589,1488.82470703125,999.73486328125
physical_query_010,report_2011_2012,0.0,0.3858930373209064,1447.1373291015625,1444.0106201171875
physical_query_011,report_2011_2012,0.07336392209936,0.2368074215471778,3381.703125,1248.6922607421875
physical_query_012,report_2011_2012,0.0783982689786753,0.1584091525685025,3503.31982421875,1224.4490966796875
physical_query_013,report_2011_2012,0.0,0.1396181455537491,1570.6595458984375,682.57666015625
physical_query_014,report_2011_2012,0.0,0.4498873763727655,3519.67236328125,679.0802612304688
physical_query_015,report_2011_2012,0.085143117641621,0.706583601726363,4215.75634765625,707.5327758789062
physical_query_016,report_2011_2012,0.0,0.066254223454389,1194.986328125,779.7672119140625
physical_query_017,report_2011_2012,0.07336392209936,0.0,5825.4580078125,1118.3392333984375
physical_query_018,report_2011_2012,0.0,0.0,918.2979736328124,1307.0799560546875
physical_query_019,report_2011_2012,0.0,0.15139734109601,1718.729736328125,695.8308715820312
physical_query_020,report_2011_2012,0.2200917662980802,0.3785009188665827,582.8013305664062,611.369140625
physical_query_021,report_2011_2012,0.0,0.7093753650484101,2721.474609375,268.1779479980469
physical_query_022,report_2011_2012,0.0,0.5933607200949347,4686.14111328125,255.26779174804688
physical_query_023,report_2011_2012,0.0,0.1884441521277154,662.6832275390625,803.131591796875
physical_query_024,report_2011_2012,0.0694312219367772,0.2336508082431053,1832.6063232421875,2400.3466796875
physical_query_025,report_2011_2012,0.1635413866202963,0.1763001066034291,1512.2149658203125,1094.13037109375
physical_query_026,report_2011_2012,0.0,0.2899773651602119,1187.8734130859375,1586.7545166015625
physical_query_027,report_2011_2012,0.1100458831490401,0.699473903081392,954.7147827148438,239.99159240722656
physical_query_028,report_2011_2012,0.0,0.4697557950008693,1438.908935546875,581.100341796875
physical_query_029,report_2011_2012,0.0,0.1388624438735545,2860.615478515625,1160.396728515625
physical_query_030,report_2011_2012,0.5199967979955746,0.158507039740981,630.906982421875,696.5953369140625
physical_query_031,report_2011_2012,0.0,0.1100458831490401,1468.89111328125,1149.9842529296875
physical_query_032,report_2011_2012,0.2999050316974944,0.3963918729015093,1591.175048828125,396.0057373046875
physical_query_033,report_2011_2012,0.4537425745411855,0.7600791051976192,417.99127197265625,654.844482421875
physical_query_034,report_2011_2012,0.2336508082431053,0.2399208948023808,542.6107788085938,791.8992309570312
physical_query_035,report_2011_2012,0.0783982689786753,0.0947883643695507,891.8515625,565.303466796875
physical_query_036,report_2011_2012,0.0,0.2211934130148126,695.13720703125,536.2849731445312
physical_query_037,report_2011_2012,0.066254223454389,0.0783982689786753,1126.1387939453125,996.783203125
physical_query_038,report_2011_2012,0.0,0.3151625504769837,1763.559326171875,1858.957763671875
