query_id,fold,control_continuous_ndcg10,cem_continuous_ndcg10
climate_query_001,report_2007_2008,0.4826902496095536,0.5442336930853194
climate_query_002,report_2007_2008,0.4984201071466628,0.7429827611089261
climate_query_003,report_2007_2008,0.417803746293925,0.4036778095701672
climate_query_004,report_2007_2008,0.6227737447051415,0.8325303449324137
climate_query_005,report_2007_2008,0.3752559351573926,0.5153053921241486
climate_query_006,report_2007_2008,0.3817126107298907,0.3884986354586958
climate_query_007,report_2007_2008,0.5441781915193472,0.5571943507257587
climate_query_008,report_2007_2008,0.6544307911090286,0.8347939497205814
climate_query_009,report_2007_2008,0.172776116062501,0.2163486343414149
climate_query_010,report_2007_2008,0.7092630370329578,0.8263055710698868
climate_query_011,report_2007_2008,0.3549683744863144,0.5237562116088896
climate_query_012,report_2007_2008,0.354308109032521,0.4333766894664346
climate_query_013,report_2007_2008,0.5752685046836572,0.7397111307176856
climate_query_014,report_2007_2008,0.6973542269488568,0.65084970388015
climate_query_015,report_2007_2008,0.5888446081294146,0.7919640821424802
climate_query_016,report_2007_2008,0.676114022297672,0.6532121092182914
climate_query_017,report_2007_2008,0.4616459029563496,0.4515247844727674
climate_query_018,report_2007_2008,0.5666612072802579,0.57504750879478
climate_query_019,report_2007_2008,0.6404989902520408,0.6813283955182872
climate_query_020,report_2007_2008,0.658931037889373,0.7390050438442246
climate_query_021,report_2007_2008,0.7182196482764547,0.8773216048045871
climate_query_022,report_2007_2008,0.6494940450155574,0.6458899888235786
climate_query_023,report_2007_2008,0.5227469648434171,0.4398934685082035
climate_query_024,report_2007_2008,0.4896518166954902,0.670791295893164
climate_query_025,report_2007_2008,0.6823831967830166,0.7894638285853317
climate_query_026,report_2007_2008,0.4284519172424343,0.5408496718453757
climate_query_027,report_2007_2008,0.6270773333591462,0.8145888185718532
climate_query_028,report_2007_2008,0.4388897871665641,0.4726609530564885
climate_query_029,report_2009,0.3718618300267866,0.5906990611023886
climate_query_030,report_2009,0.6745589750672808,0.927814684144376
climate_query_031,report_2009,0.4349991258282178,0.5235933972330148
climate_query_032,report_2009,0.6457160488684486,0.8715468143283637
climate_query_033,report_2009,0.4161902057461947,0.6689235532099885
climate_query_034,report_2009,0.4710033477903467,0.5442129430001384
climate_query_035,report_2009,0.6633516551273869,0.7383389887634814
climate_query_036,report_2009,0.7299371411903479,0.5943934428268729
climate_query_037,report_2009,0.6310064934466882,0.7509851148803416
climate_query_038,report_2009,0.6086415361521935,0.8971561196112532
climate_query_039,report_2009,0.6057170287758414,0.6033361369952894
climate_query_040,report_2009,0.7351749238123692,0.7659381063606469
climate_query_041,report_2009,0.6094227589311555,0.678342238134017
climate_query_042,report_2009,0.3198877055753497,0.557369732766394
climate_query_043,report_2009,0.7259028766935985,0.7362369436658319
climate_query_044,report_2009,0.6814348296988094,0.7740927995240375
climate_query_045,report_2009,0.6478637161342413,0.7058525182143807
climate_query_046,report_2009,0.5795547361671936,0.6064171608161878
climate_query_047,report_2009,0.6274403132768591,0.69753119344223
climate_query_048,report_2009,0.5176684392837776,0.5572061172069944
climate_query_049,report_2009,0.458461447729613,0.7227303684079538
climate_query_050,report_2009,0.6392985772182116,0.8187010713949769
climate_query_051,report_2009,0.7119707847770238,0.8619238395691481
climate_query_052,report_2009,0.550672303351105,0.5180321559657521
climate_query_053,report_2010,0.5135717281900765,0.6499582674991679
climate_query_054,report_2010,0.7305801126044202,0.7229459169041104
climate_query_055,report_2010,0.3242767570026104,0.3891090664955331
climate_query_056,report_2010,0.6920632335647926,0.8774637732589582
climate_query_057,report_2010,0.8175145898022494,0.8867814516357152
climate_query_058,report_2010,0.7108987390807272,0.6297828235497626
climate_query_059,report_2010,0.4776126659585381,0.7129683845285506
climate_query_060,report_2010,0.6418957454647619,0.6617023468355716
climate_query_061,report_2010,0.5655887072626914,0.7770112466137548
climate_query_062,report_2010,0.643258363826027,0.6202481981900897
climate_query_063,report_2010,0.6137081378137498,0.7612303325187889
climate_query_064,report_2010,0.4506280255695273,0.4041484311228573
climate_query_065,report_2010,0.6540547406657576,0.6708913030836281
climate_query_066,report_2010,0.5535678633232775,0.7131316173555385
climate_query_067,report_2010,0.6411522332080098,0.6979904428956384
climate_query_068,report_2010,0.6371792022282213,0.7399288178784993
climate_query_069,report_2010,0.6116673691932653,0.6449904475426871
climate_query_070,report_2010,0.637158596243005,0.6778607106009049
climate_query_071,report_2010,0.527458963903644,0.6082370870593004
climate_query_072,report_2010,0.5131840539650722,0.632466135959344
climate_query_073,report_2010,0.5784826810121029,0.6420689770822772
climate_query_074,report_2010,0.719041018000575,0.7744164900858755
climate_query_075,report_2010,0.6212958743996249,0.4624704675710557
climate_query_076,report_2010,0.4699573540715393,0.7404718117136898
climate_query_077,report_2010,0.7398170577853211,0.949133613723078
climate_query_078,report_2010,0.475985768805886,0.5619646627281595
climate_query_079,report_2010,0.6186207600195989,0.7060594619901521
climate_query_080,report_2010,0.5074289338630079,0.5399023715221898
climate_query_081,report_2010,0.5860288536024839,0.5370032774077312
climate_query_082,report_2010,0.7290818282053376,0.8093490379397258
climate_query_083,report_2010,0.4236960622081515,0.4457401851236272
climate_query_084,report_2010,0.5224428843577725,0.7493234017771174
climate_query_085,report_2010,0.6475817384479486,0.666194257774219
climate_query_086,report_2010,0.777493677034175,0.9058063738835692
